game,n1,n2,n3,n4,n5,n6
1,1,2,5,35,44,55
2,3,4,6,29,36,48
3,7,8,9,17,20,53
4,10,11,15,27,49,59
5,12,14,21,24,30,33
6,13,18,38,43,50,57
7,19,28,31,42,51,56
8,2,23,25,26,34,46
9,16,22,40,42,54,60
10,3,13,37,41,45,47
11,7,14,32,52,54,58
12,1,10,19,38,39,46
13,4,8,11,23,32,51
14,5,6,9,15,24,25
15,12,18,20,34,41,49
16,17,31,37,44,48,58
17,16,21,26,47,50,53
18,1,29,30,52,56,57
19,3,22,32,43,55,59
20,18,23,27,35,36,39
21,2,13,20,33,40,52
22,17,26,27,28,45,60
23,4,5,31,49,57,60
24,6,8,14,16,39,44
25,7,15,28,33,41,50
26,9,35,43,45,56,58
27,10,34,36,37,51,55
28,3,11,25,38,42,53
29,2,9,19,37,54,59
30,11,18,21,22,46,48
31,24,39,40,47,51,58
32,8,19,29,40,45,55
33,1,7,12,13,16,31
34,4,21,27,38,41,54
35,12,23,29,42,47,59
36,1,17,25,33,36,43
37,2,6,22,53,57,58
38,28,30,43,44,46,49
39,32,36,46,50,56,60
40,4,14,26,35,40,59
41,17,19,34,35,50,52
42,8,10,12,28,54,57
43,5,38,45,48,51,52
44,20,26,29,31,32,39
45,7,18,25,30,51,60
46,7,22,24,34,38,56
47,10,23,30,31,41,53
48,1,6,37,40,49,56
49,9,13,15,21,29,60
50,9,27,32,33,48,55
51,11,16,20,24,41,55
52,3,14,15,18,19,58
53,20,21,36,42,44,45
54,8,13,25,35,48,49
55,4,9,12,39,46,52
56,6,11,33,35,47,60
57,8,15,31,36,38,47
58,2,4,17,18,47,56
59,3,27,29,44,50,54
60,15,16,30,32,34,57
61,8,26,33,37,42,43
62,5,17,22,39,41,49
63,5,7,19,21,23,43
64,4,13,28,34,42,58
65,20,22,23,28,37,50
66,15,23,39,48,54,56
67,10,24,44,47,52,60
68,18,24,32,37,46,53
69,2,7,10,14,29,42
70,1,15,35,51,53,54
71,6,21,28,41,52,59
72,24,26,36,45,49,54
73,6,7,27,42,46,55
74,9,11,14,31,34,40
75,3,10,17,20,30,40
76,5,30,46,50,58,59
77,1,19,27,34,47,48
78,14,25,36,41,45,57
79,13,14,17,46,51,54
80,3,7,21,35,39,57
81,4,12,15,22,44,45
82,12,23,38,49,55,58
83,13,33,38,44,53,59
84,3,5,12,26,56,60
85,2,3,9,16,28,45
86,5,11,29,33,34,54
87,6,10,18,26,31,45
88,2,11,13,30,36,39
89,10,16,20,25,27,56
90,27,31,43,49,52,53
91,34,39,48,53,59,60
92,1,19,22,26,41,58
93,2,12,21,32,40,51
94,5,14,27,28,40,53
95,1,4,14,20,48,50
96,12,25,29,35,37,38
97,9,22,42,47,51,57
98,13,19,24,32,35,42
99,1,8,11,24,50,52
100,11,12,19,25,44,57
101,2,6,20,38,43,60
102,14,25,28,32,47,55
103,15,16,17,23,43,52
104,1,3,23,33,49,51
105,16,18,33,36,40,58
106,4,6,26,30,54,55
107,2,8,24,29,41,43
108,7,11,17,45,56,59
109,9,40,41,44,50,51
110,4,10,19,33,43,48
111,5,8,10,13,22,35
112,16,20,46,51,57,59
113,3,8,31,35,46,59
114,23,24,28,40,48,57
115,15,17,18,42,52,55
116,14,21,23,37,55,60
117,9,30,32,38,42,49
118,25,31,33,39,45,50
119,22,26,27,37,52,57
120,6,12,17,32,41,48
121,1,5,9,18,28,36
122,4,7,16,19,37,53
123,8,20,21,27,30,58
124,7,25,40,43,47,54
125,21,31,36,53,55,56
126,19,20,30,35,47,49
127,13,23,32,34,44,45
128,22,25,29,33,46,58
129,16,17,24,28,29,38
130,7,11,15,26,37,44
131,2,5,16,42,48,50
132,6,13,27,34,43,51
133,8,10,41,56,58,60
134,2,14,22,31,49,54
135,1,4,21,24,25,59
136,5,15,20,40,46,47
137,6,12,19,36,50,59
138,13,14,26,38,44,56
139,3,10,21,34,49,50
140,1,5,30,32,37,45
141,11,12,28,39,43,53
142,8,9,18,26,29,51
143,33,37,39,55,56,57
144,3,22,30,36,48,52
145,2,3,15,24,27,31
146,1,41,42,45,46,60
147,7,16,29,35,36,49
148,6,18,23,44,54,59
149,9,10,17,23,32,57
150,7,13,26,48,50,55
151,11,19,29,53,58,60
152,8,25,34,39,42,52
153,4,28,35,38,40,41
154,12,14,20,27,43,54
155,17,18,21,45,47,53
156,5,6,11,16,30,31
157,4,34,47,51,52,59
158,15,23,37,38,46,57
159,4,9,18,24,44,60
160,2,19,22,33,39,56
161,3,5,10,41,55,59
162,7,38,39,50,58,60
163,1,15,43,55,57,58
164,13,18,28,30,37,54
